@@,name,party,constituency
->,"Revanna, Shri Prajwal->Prajwal Revanna",Janata Dal (Secular),Hassan
->,Rekha Verma->Rekha Arun Verma,Bharatiya Janata Party,Dhaurahra
->,Ravikumar->D. Ravikumar,Viduthalai Chiruthaigal Katchi->Dravida Munnetra Kazhagam,Viluppuram
->,Ravi Kishan->Ravi Kishan Shukla,Bharatiya Janata Party,Gorakhpur
->,Raveendranath Kumar->P. Ravindhranath,All India Anna Dravida Munnetra Kazhagam,Theni
->,Ratansinh Rathod->Ratansinh Magansinh Rathod,Bharatiya Janata Party,Panchmahal
->,Rao Inderjit Singh->Inderjit Singh Rao,Bharatiya Janata Party,Gurgaon
->,Ranjit Naik-Nimbalkar->Ranjeetsingh Naik Nimbalkar,Bharatiya Janata Party,Madha
->,Ramya Haridas->Ms. Ramya Haridas,Indian National Congress,Alathur
->,Rammohan Naidu Kinjarapu->Kinjarapu Ram Mohan Naidu,Telugu Desam Party,Srikakulam
->,Rameshbhai Dhaduk->Rameshbhai Lavjibhai Dhaduk,Bharatiya Janata Party,Porbandar
->,Ramesh Chander->Ramesh Chander Kaushik,Bharatiya Janata Party,Sonipat
->,Ramesh Chand->Ramesh Chand Bind,Bharatiya Janata Party,Bhadohi
->,Ramdas Tadas->Ramdas Chandrabhanji Tadas,Bharatiya Janata Party,Wardha
->,Ramcharan Bohara->Ramcharan Bohra,Bharatiya Janata Party,Jaipur
->,Ram Shankar Katheria->Prof. (Dr.) Ram Shankar Katheria,Bharatiya Janata Party,Etawah
->,Ram Chandra Paswan->Prince Raj,Lok Jan Shakti Party,Samastipur
->,Raksha Khadase->Raksha Nikhil Khadse,Bharatiya Janata Party,Raver
->,Rajyavardhan Rathore->Col. Rajyavardhan Singh Rathore,Bharatiya Janata Party,Jaipur Rural
->,Rajvir Singh Diler->Rajveer Diler,Bharatiya Janata Party,Hathras
->,Rajveer Singh->Rajveer (Raju Bhaiya) Singh,Bharatiya Janata Party,Etah
->,Rajnath Singh->Raj Nath Singh,Bharatiya Janata Party,Lucknow
->,Rajiv Ranjan Singh->Rajiv Ranjan (Lalan) Singh,Janata Dal (United),Munger
->,Rajesh Chudasama->Rajeshbhai Naranbhai Chudasama,Bharatiya Janata Party,Junagadh
->,Rajendra Gavit->Rajendra Dhedya Gavit,Shiv Sena,Palghar
->,Rajan Vichare->Rajan Baburao Vichare,Shiv Sena,Thane
->,Raj Bahadur Singh->Rajbahadur Singh,Bharatiya Janata Party,Sagar
->,R.K. Ranjan Singh->Ranjan Singh Rajkumar,Bharatiya Janata Party,Inner Manipur
->,R. K. Singh->Raj Kumar Singh,Bharatiya Janata Party,Arrah
->,R. K. Singh Patel->R.K. Singh Patel,Bharatiya Janata Party,Banda
->,Pritam Munde->Pritam Gopinath Rao Munde,Bharatiya Janata Party,Beed
->,"Premachandran, Shri N.K.->N.K. Premachandran",Revolutionary Socialist Party,Kollam
->,Pravesh Verma->Parvesh Sahib Singh,Bharatiya Janata Party,West Delhi
->,Pratima Bhoumik->Km. Pratima Bhoumik,Bharatiya Janata Party,Tripura West
->,Prataprao Govindrao Chikhalikar->Prataprao Patil Chikhalikar,Bharatiya Janata Party,Nanded
->,Prataprao Ganpatrao Jadhav->Prataprao Jadhav,Shiv Sena,Buldhana
->,Pratap Simha->Prathap Simha,Bharatiya Janata Party,Mysore
->,Pralhad Joshi->Pralhad Venkatesh Joshi,Bharatiya Janata Party,Dharwad
->,Pragya Singh Thakur->Sadhvi Pragya Singh Thakur,Bharatiya Janata Party,Bhopal
->,Pradyut Bordoloi,Indian National Congress,Nowgong->Nawgong
->,Pradeep Choudhary->Pradeep Kumar Chaudhary,Bharatiya Janata Party,Kairana
->,Pothuganti Ramulu->Ramulu Pothuganti,Telangana Rashtra Samithi,Nagarkurnool
->,Poonamben Madam->Poonamben Hematbhai Maadam,Bharatiya Janata Party,Jamnagar
->,Pasunuri Dayakar->Dayakar Pasunoori,Telangana Rashtra Samithi,Warangal
->,Parbat Patel->Parbatbhai Savabhai Patel,Bharatiya Janata Party,Banaskantha
->,P. V. Midhun Reddy->P.V. Midhun Reddy,Yuvajana Sramika Rythu Congress Party,Rajampet
->,P. R. Natarajan->P.R. Natarajan,Communist Party of India (Marxist),Coimbatore
->,P. K. Kunhalikutty->M. P. Abdussamad Samadani,Indian Union Muslim League,Malappuram
->,P. C. Gaddigoudar->Parvatagouda Chandanagouda Gaddigoudar,Bharatiya Janata Party,Bagalkot
->,P P Choudhary->P.P. Chaudhary,Bharatiya Janata Party,Pali
->,Omraje Nimbalkar->Omprakash Bhupalsingh alias Pavan Rajenimbalkar,Shiv Sena,Osmanabad
->,Nusrat Jahan->MS. Nusrat Jahan Ruhi,All India Trinamool Congress,Basirhat
->,Nitin Gadkari->Nitin Jairam Gadkari,Bharatiya Janata Party,Nagpur
->,Nitesh Gangadeb->Nitesh Ganga Deb,Bharatiya Janata Party,Sambalpur
->,Nisith Pramanik,Bharatiya Janata Party,Cooch Behar->Coochbehar
->,Niranjan Jyoti->Sadhvi Niranjan Jyoti,Bharatiya Janata Party,Fatehpur
->,Nihalchand Chauhan->Nihal Chand Chauhan,Bharatiya Janata Party,Ganganagar
->,Navaskani->Kani K. Navas,Indian Union Muslim League,Ramanathapuram
->,Navaneet Kaur->Smt Navneet Ravi Rana,Independent,Amravati
->,Narendra Modi->Narendra Damodardas Modi,Bharatiya Janata Party,Varanasi
->,Naranbhai Kachhadia->Naranbhai Bhikhabhai Kachhadiya,Bharatiya Janata Party,Amreli
->,Nalamada Uttam Kumar Reddy->Uttam Kumar Nalamada Reddy,Indian National Congress,Nalgonda
->,Nakul Nath->Nakul K. Nath,Indian National Congress,Chhindwara
->,N. Reddeppa->Reddeppa Nallakonda Gari,Yuvajana Sramika Rythu Congress Party,Chittoor
->,Muhammad Sadiq->Mohammad Sadique,Indian National Congress,Faridkot
->,Mugunta Sreenivasulu Reddy->Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,Ongole
->,Mohan Kundariya->Mohanbhai Kalyanji Kundariya,Bharatiya Janata Party,Rajkot
->,Mohammed Faizal P. P.->Faizal P.P. Mohammed,Nationalist Congress Party,Lakshadweep
->,Mimi Chakraborty->Ms. Mimi Chakraborty,All India Trinamool Congress,Jadavpur
->,Mehboob Ali Kaiser->Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,Khagaria
->,Meenakshi Lekhi->Meenakashi Lekhi,Bharatiya Janata Party,New Delhi
->,Margani Bharat->Bharat Ram Margani,Yuvajana Sramika Rythu Congress Party,Rajahmundry
->,Mansukhbhai Vasava->Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,Bharuch
->,Manoj Tiwari->Manoj Kumar Tiwari,Bharatiya Janata Party,North East Delhi
->,Manne Srinivas Reddy->Srinivas Reddy Manne,Telangana Rashtra Samithi,Mahabubnagar
->,Manicka Tagore->Manickam Tagore B.,Indian National Congress,Virudhunagar
->,Maneka Gandhi->Maneka Sanjay Gandhi,Bharatiya Janata Party,Sultanpur
->,Mahendra Solanki->Mahendra Singh Solanky,Bharatiya Janata Party,Dewas
->,Mahendra Munjapara->Mahendrabhai Kalubhai Munjpara,Bharatiya Janata Party,Surendranagar
->,Mahant Balaknath->Balak Nath,Bharatiya Janata Party,Alwar
->,M.V.V. Satyanarayana->M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,Visakhapatnam
->,M. Selvaraj->Muniyan Selvaraj,Communist Party of India,Nagapattinam
->,M. K. Vishnu Prasad->M.K. Vishnu Prasad,Indian National Congress,Arani
->,Lorho S. Pfoze,Naga People's Front->Naga Peoples Front,Outer Manipur
->,Lavu Shri Krishna Devarayalu->Sri Krishna Devarayalu Lavu,Yuvajana Sramika Rythu Congress Party,Narasaraopet
->,Lalubhai Patel->Lalubhai Babubhai Patel,Bharatiya Janata Party,Daman and Diu
->,"Lalrosanga, Shri C.->C. Lalrosanga",Mizo National Front,Mizoram
->,Krupal Tumane->Krupal Balaji Tumane,Shiv Sena,Ramtek
->,Krishna Pal Singh Yadav->Krishnapal Singh Yadav,Bharatiya Janata Party,Guna
->,Krishan Pal->Krishan Pal Gurjar,Bharatiya Janata Party,Faridabad
->,Kirit Premjibhai Solanki->(Prof.) Kirit Premjibhai Solanki,Bharatiya Janata Party,Ahmedabad West
->,Kesineni Srinivas->Srinivas Kesineni,Telugu Desam Party,Vijayawada
->,Karthik Chidambaram->Karti P. Chidambaram,Indian National Congress,Sivaganga
->,Karadi Sanganna Amarappa->Sanganna Amarappa Karadi,Bharatiya Janata Party,Koppal
->,Kapil Patil->Kapil Moreshwar Patil,Bharatiya Janata Party,Bhiwandi
->,Kanumuru Raghu Rama Krishna Raju->Raghu Ramakrishna Raju Kanumuru,Yuvajana Sramika Rythu Congress Party,Narsapuram
->,Kanak Mal Katara->Kanakmal Katara,Bharatiya Janata Party,Banswara
->,Kalyan Banerjee,All India Trinamool Congress,Sreerampur->Serampore
->,Kalanidhi Veeraswamy->Veeraswamy Kalanidhi,Dravida Munnetra Kazhagam,Chennai North
->,Kakoli Ghosh Dastidar->(Smt.) Kakoli Ghosh Dastidar,All India Trinamool Congress,Barasat
->,K. Sudhakaran->Kumbakudi Sudhakaran,Indian National Congress,Kannur
->,K. Shamugasundaram->K. Shanmuga Sundaram,Dravida Munnetra Kazhagam,Pollachi
->,K C Patel->K. C. Patel,Bharatiya Janata Party,Valsad
->,Jyotsna Mahant->Jyotsna Charandas Mahant,Indian National Congress,Korba
->,Jyotirmoy Singh Mahato->Jyotirmay Singh Mahato,Bharatiya Janata Party,Purulia
->,Jothimani->Ms. S. Jothi Mani,Indian National Congress,Karur
->,Jasvantsinh Sumanbhai Bhabhor->Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janata Party,Dahod
->,Jaisidhesvar Swami->Jaisiddeshwar Shivacharya Mahaswamiji,Bharatiya Janata Party,Solapur
->,Hemant Sriram Patil->Hemant Shriram Patil,Shiv Sena,Hingoli
->,Hemant Godse->Hemant Tukaram Godse,Shiv Sena,Nashik
->,Heera Saraniya->Naba (Hira) Kumar Sarania,Independent,Kokrajhar
->,Heena Gavit->Heena Vijaykumar Gavit,Bharatiya Janata Party,Nandurbar
->,Hasmukh Patel->Hasmukhbhai Somabhai Patel,Bharatiya Janata Party,Ahmedabad East
->,"Hansdak, Shri Vijay Kumar->Vijay Kumar Hansdak",Jharkhand Mukti Morcha,Rajmahal
->,Gomtee Sai->Gomati Sai,Bharatiya Janata Party,Raigarh
->,Gitaben Rathva->Gitaben Vajesingbhai Rathva,Bharatiya Janata Party,Chhota Udaipur
->,Girish Bapat->Girish Bhalchandra Bapat,Bharatiya Janata Party,Pune
->,Geeta Koda->Geeta Kora,Indian National Congress,Singhbhum
->,Gautham Sigamani->Gautham Sigamani Pon,Dravida Munnetra Kazhagam,Kallakurichi
->,Gajendrasingh Shekhawat->Gajendra Singh Shekhawat,Bharatiya Janata Party,Jodhpur
->,Gajendra Patel->Gajendra Singh Patel,Bharatiya Janata Party,Khargone
->,G.S. Basavaraj->Gangasandra Siddappa Basavaraj,Bharatiya Janata Party,Tumkur
->,G. Selvam->Ganesan Selvam,Dravida Munnetra Kazhagam,Kancheepuram
->,G. Ranjith Reddy->Gaddam Ranjith Reddy,Telangana Rashtra Samithi,Chevella
->,G. Kishan Reddy->Kishan Reddy Gangapuram,Bharatiya Janata Party,Secunderabad
->,Francisco Sardinha->Francisco Cosme Sardinha,Indian National Congress,South Goa
->,Dushyant Singh,Bharatiya Janata Party,Jhalawar->Jhalawar-Baran
